user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
allenanalysis,NYC,"Swinging a sledgehammer at the status quo. If it needs to be said, I’m saying it. Subscribe for less than a cup of coffee. Host of @theallenpod 🇺🇸🇯🇲",,142789,191,23135,False,Thu May 08 13:43:39 +0000 2025,"A 98-year-old British WWII vet just ran over a Tesla with a tank and said, “We crushed fascism before, and we’ll crush it again.”

No metaphors here he lined up Musk, Putin, Trump, and the global far-right and hit the gas. https://t.co/WfyRNCY9oN",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
AntiLeftMemes,🇺🇸 Turn Notifications On 🔔,Memes Against The Hypocritical Tyrannical Left #TRUMP #MAGA #1A #2A #USA,,89289,105,36937,False,Thu May 08 13:32:00 +0000 2025,"LIBERAL Woman with Elon Derangement Syndrome REFUSES to park next to a TESLA Cybertruck.

What do you wish to say to her?
https://t.co/22irTNv0hh",[],"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",False
TheKevinDalton,"Eagle, ID",I tried fixing the system by working with the system. Now I'm doing it my way.,,86506,3150,18616,False,Fri May 02 00:16:28 +0000 2025,Every unhinged leftist vandalizing Teslas are absolute cowards with zero conviction or ability to defend their actions. https://t.co/VVTi95O4ai,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
jeremyjudkins_,"Sarasota, FL",The Best Tesla Cybertruck Influencer ⚡️🔋 🛻,,34546,1205,135366,False,Tue May 06 12:53:12 +0000 2025,The Tesla Cybertruck doesn’t need mirrors https://t.co/2A2auc8V0a,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
EvasTeslaSPlaid,"Merritt Island, FL","Residential Real Estate in FL, Waterfront & Beachside Specialist. First Tesla S Plaid owner in FL, Tesla Shareholder. #FSDBeta tester. Fluent in 6 languages.",,124550,16081,245048,False,Sat May 03 11:02:12 +0000 2025,During the last few years Elon Musk and Giorgia Meloni became good friends. 💕 https://t.co/z0aijq0yia,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
jeremyjudkins_,"Sarasota, FL",The Best Tesla Cybertruck Influencer ⚡️🔋 🛻,,34546,1205,135366,False,Tue May 06 16:43:32 +0000 2025,How does Tesla misinformation still exist in 2025? Someone told me it was impossible that my Cybertruck could drive over 4 hours without charging. https://t.co/v2FyMNzFJc,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Tue May 06 06:07:18 +0000 2025,"Elon Musk had a vision to make Twitter the everything app. The place where you do everything in one place.
 https://t.co/9SiNxwU8Vh",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Thu May 08 05:04:01 +0000 2025,"Tesla Model Y Vandalized  What do you think? idiot man should go to jail. - keying.

Please share to make this stupid man famous!😤 $TSLA https://t.co/01Pv88xoQx",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Wed May 07 19:15:43 +0000 2025,"Tesla Model Y Vandalized - What do you think?  

Please share to make this stupid man famous! $TSLA https://t.co/07PLIheV2e",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
HussainShafiei,"Bayswater, London","National Election Coordinator Workers Party of Britain, Iranian by blood, Arab by birth and English by upbringing.",,47493,3811,52305,False,Sun May 04 13:55:21 +0000 2025,"Remember guys, Tesla is the best car in the world. No one can touch it… 

China 🇨🇳 you are winning. https://t.co/NuDsQlwVkq",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
unlimited_ls,,"Source For Political News, Crimes And Social Injustice🇺🇸 - I Bring You The News, For The Views🫡",,159560,4425,47462,False,Thu May 08 13:26:20 +0000 2025,"NEW: 98-year-old British WWII veteran crushes a Tesla with a tank in protest of Musk and the global far-right 

""His money comes from Tesla cars. Well, I've got this message for Mr. Musk.. We crushed fascism before and we’ll crush it again."" https://t.co/TY3f3OEPc4",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sun May 04 19:55:09 +0000 2025,Elon Musk Replaces 𝕏’s Algorithm with Grok AI – The Future Starts Now https://t.co/em6fvWBHFl,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
DirtyTesLa,Michigan,YouTube and Links: https://t.co/xDxdMQtRrJ,,118692,1192,332189,False,Thu May 08 13:21:25 +0000 2025,Leaked robotaxi footage? https://t.co/VDnumjTQuz,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
TrueFactsStated,Maryland and Paris,Chair Mad Dog Pac. We do billboards. I do Room Rater. Fmr WH staff. Was attacked by Elon’s Mommie. Bluesky https://t.co/evji9pRBaM,,202463,4209,285945,False,Sun May 04 14:27:53 +0000 2025,Once more-this is the moment when @elonmusk destroyed the Tesla brand. There is no recovering from this-nor should there be.. https://t.co/K3bQFlLVch,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
Tesla,,"Electric vehicles, giant batteries & solar, AI & robotics",,23940058,68,6738,False,Thu May 08 12:28:26 +0000 2025,"Once you’ve experienced FSD Supervised, you won’t want to go back to a car without it",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Tue May 06 14:48:33 +0000 2025,"Tesla Cybertruck Vandalized – Help Identify the Suspect - Share this to help get this foolish woman arrested

Please share to find this stupid woman! $TSLA https://t.co/aiajjrGVu5",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
AfricanHub_,Africa,Telling the African stories to the world.,,948295,21,228,False,Thu May 08 07:14:00 +0000 2025,"Burkina Faso has launched their own electric vehicle which will now compete with Tesla.

Your thoughts on this https://t.co/Eag8mYL6Qt",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
ElonMuskNews47,"Texas, USA",Tap the ( 🔔- notify) for daily Elon Musk news and updates. No affiliation. (Commentary). Fan-page | News |,,16178,376,6,False,Thu May 08 09:02:44 +0000 2025,"Elon Musk has confirmed that if Alex Soros and George Soros are found to have funded the attacks on Tesla dealerships, they will face imprisonment.

Do you agree with Elon Musk?

A. Yes
B. No https://t.co/qEk72X2ycP",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
JonathanXable,USA,"𝕏 is the Platform of future : Spreading Positivity, One Click at a Time!",,10304,5300,22765,False,Thu May 08 12:42:27 +0000 2025,Will you buy a Tesla phone? https://t.co/PbFvKkCf3J,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
elonmuskADO,"Texas, USA",I'm Not Elon Musk. This is a PARODY Account. This Account is Not Affiliated with elonmusk. 𝕏 Favorite Account. Freedom Of Speech. MAGA 🇺🇸2024. I Love 𝕏 ♥.#1,,431296,10325,71641,False,Thu May 08 09:59:17 +0000 2025,"You won a competition and you have to choose one of these Tesla cars.

What is your pick?

A.Tesla Black
B. Tesla Red https://t.co/9xZsSgLnqX",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
ELonMuskNewssX,United States,"🚨Breaking News Daily! No Affiliations with @elonmusk . Turn on (🔔) Notification to be the first to get Breaking News.
Biggest Elon Musk (News) Fanpage on X",,92137,11,1031,False,Sun May 04 10:13:36 +0000 2025,"Would you accept this Tesla for free ?

A. YES
B. NO

Give me a Thumbs-Up👍 if you accept https://t.co/IUANuSZ9bC",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
Tesla7771,,"#Trump2024 ,Patriotic American, friend to animals, meme maker,  Sons of Magarchy #SoM ,  Green Frog labs 🐸🧪",,10896,4779,82646,False,Wed May 07 18:32:15 +0000 2025,Stacey Abrams Staue Erected in times square  👀🤣 https://t.co/LgWFq97soe,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
TaraBull808,United States,#SpacesHost | Truth Slayer | ↗️ I follow all Subscribers • Let's end the establishment media • ʟɪꜱᴛᴇɴ ᴡɪᴛʜ ᴄᴜʀɪᴏꜱɪᴛʏ. ꜱᴘᴇᴀᴋ ᴡɪᴛʜ ʜᴏɴᴇꜱᴛʏ. ᴀᴄᴛ ᴡɪᴛʜ ɪɴᴛᴇɢʀɪᴛʏ.,,1229305,23033,149904,False,Thu May 08 04:02:06 +0000 2025,"Nikola Tesla's last words to his mother, ""My years of service to mankind have brought me nothing but insult and humiliation."" https://t.co/WEQSwZLHBt",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
SundaeDivine,DC  ¯\_(ツ)_/¯ ,https://t.co/JQXbbenDjY,,118267,27891,292392,False,Tue May 06 13:08:47 +0000 2025,Tesla’s new autopilot feature includes navigating straight into bankruptcy. https://t.co/nfvPMXX3Xb,[],"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",False
Bricktop_NAFO,"Langley, Virginia","NAFO Head Of Tea Drinking Division, Boinker Of Vatniks, Master of Bastards, Maker of Memes

@bricktopnafo.bsky.social",,65175,12169,30874,False,Thu May 08 10:46:01 +0000 2025,"A British World War 2 Veteran Shows The World What He Thinks Of Fascism.

Tank VS Tesla https://t.co/tPdHB6pYCg",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
HotSpotHotSpot,,Alternative News Media,,36050,0,3061,False,Wed May 07 14:01:53 +0000 2025,"🚨 Investigative journalist Whitney Webb says Elon Musk was subpoenaed by the U.S. Virgin Islands over ties to Epstein — who allegedly advised Tesla in 2018 during the “take-private” push using Gulf or Saudi money

Musk’s Epstein connection may run deeper than just awkward party photos

 Could this be why the Epstein files are still sealed? 🤔",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
NotHoodlum,"New York, USA",Commentary • Satirical Emeritus • Highlights: https://t.co/346RRUl7n3,,204888,7399,1553516,False,Thu May 08 01:40:26 +0000 2025,"Tesla sales in Europe for April. 
UK: 62% drop
Sweden: down 81%
Denmark: 67% drop
The Netherlands: down 74%
Germany, Spain, France and Belgium: down at least 34% each. https://t.co/iVJ2FWg8d4",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
Teslarati,California,"Tesla, SpaceX, Elon Musk, and #FutureTech Go behind the scenes @TeslaratiTeam",,898522,138,6715,False,Thu May 08 12:53:06 +0000 2025,"😳 Anti-Elon Musk group crushes Tesla Model 3 with a tank. 

""We've crushed fascism before and we'll crush it again.""

What a waste of a Model 3. They could have just given the car to someone in need instead of this stunt. Smh. 🤦‍♂️

https://t.co/8LqPScR4ol",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
DigitalGal_,Callisto ,"memories last a lifetime, make it a good one ™",,20801,902,115460,False,Tue May 06 18:03:15 +0000 2025,"New Hampshire resident keys a Tesla Cybertruck 

They still don’t know about sentry mode? 

https://t.co/R6oVCLunlO",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
SaltyGirl09,,"Constitutionalist 1776 🇺🇲America First 🇺🇸

Political Junkie🇺🇸 Happily married🇺🇸Heritage American🇺🇲Not Monetized",,49224,2126,16385,False,Wed May 07 11:56:11 +0000 2025,"A black man attempts to carjack a Tesla at a red light.

I am glad to see people finally stepping up. https://t.co/WXsX2PPfAE",[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
thestockwhale,Get My Trade Signals →,Fastest Growing Trader on 𝕏. Join Discord • https://t.co/GaBnArAAKe,,62805,72,660,False,Thu May 08 01:44:25 +0000 2025,"$TSLA

Let's see if Tesla can reach $320 by July and $380 by the end of this year. 

Here's exactly what to expect and when to buy $TSLA moving forward. https://t.co/5gZZOWAIce",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
BatataReal,São Paulo,Faço vídeos de jogos ou quase isso e lives em https://t.co/FbVDOzJH3q 📧 Contato: contatocombatata@gmail.com,,124439,1072,33949,False,Thu May 08 00:53:47 +0000 2025,bObA tEa 😋🧋gNaRLy💚 tEsLa 🚘 gNaRLy 💚 fRiEd cHiCkEn 🍗 🐔 gNaRLy 💚 pArTy iN tHe hOLLyWoOd hiLLs 🥳 🎉,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sun May 04 05:29:27 +0000 2025,"Elon Musk is a legend. 
The greatest couch surfer of all time https://t.co/5ivOU7SB5R",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
jessica_kirsh,"Brownsville, Texas, USA ","Recalibrating. Pivoting from covering SpaceX’s Starship 🚀 program (2021-2024). Interests: AI, Tesla, RV Living, & Weather | https://t.co/73zpy9LU9g",,42318,1212,109172,False,Wed May 07 00:43:34 +0000 2025,"March 21, 2022. 
My first Tesla Model Y test drive. https://t.co/pRNMmfdv0Y",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
EvasTeslaSPlaid,"Merritt Island, FL","Residential Real Estate in FL, Waterfront & Beachside Specialist. First Tesla S Plaid owner in FL, Tesla Shareholder. #FSDBeta tester. Fluent in 6 languages.",,124550,16081,245048,False,Thu May 08 04:53:49 +0000 2025,"Some kids stand under trees. Elon Musk’s children stand under rockets.
This is what growing up around ambition looks like. 🫶 @elonmusk https://t.co/mFI9azsQN3",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
modelyturkiye,,"Tesla owner, Tesla fan",,6886,57,236,False,Wed May 07 15:19:24 +0000 2025,Ne yazık ki bundan oldu Tesla sayfasında https://t.co/49ZFvG6rYF,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
IfindRetards,United States,I find retards and their posts on X,,738183,563,18037,False,Tue May 06 03:21:45 +0000 2025,Retards vomit all over themselves to protest Tesla and @elonmusk https://t.co/cHJrWZJk3D,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sat May 03 15:58:52 +0000 2025,"TRUMP: ""Elon Musk is an incredible guy. He's a brilliant guy. He's a wonderful person. I've seen him with his family. I've seen him with a lot of his children. He's got a lot of children. He treats him good. He loves his children."" https://t.co/rbi4XKvA2Q",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
StonkKing4,Wall Street,"You're a leaf in the wind. You don't get to decide if you blow east or west.
   ----   https://t.co/Xrrb4816P8 ---- @stonkking4.bsky.social",,1752,92,33155,False,Tue May 06 17:02:28 +0000 2025,"$TSLA suddenly spontaneously decides to erupt in flames 🔥

🤡 Tesla cult member lucky car wasn't parked in garage

#TeslaFires https://t.co/u2dsunm3rn",['TeslaFires'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Sun May 04 01:16:10 +0000 2025,"Starbase, Texas

Is now a real city! https://t.co/aW9S87Ycbd",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
iam_smx,,"Innovation, Technology, Rockets & Tesla ignite my passion. Host of The Story Book. Sharing updates & info 24/7. Breaking World News! Motivation & Fun guaranteed",,102764,570,52826,False,Sat May 03 17:55:05 +0000 2025,Elon Musk and Tesla Wings. 😎 https://t.co/cUvp71XFsU,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False
teslaownersSV,Silicon Valley,The most notorious Tesla Club in the world. Creator of @thextakeover and taking the Takeover global. We amplify sustainability and philanthropy.,,1182595,671,165913,False,Tue May 06 01:12:23 +0000 2025,"This is real but people will say it’s AI
 https://t.co/RCGg8t9AtP",[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Wed May 07 15:56:12 +0000 2025,"Did this clueless old lady scratch someone else's Tesla with a shopping cart on purpose, or is her brain just gone? $TSLA https://t.co/jPH2pA94f7",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
TeslaCamera,,"Gathering point for Tesla enthusiasts! Share your own Tesla videos and join our community. 🚀⚡️🚘

#model3 #modely #models #modelx #cybertruck #Tesla #fsd",,51551,84,14550,False,Mon May 05 14:09:21 +0000 2025,"Put this clown on blast! You don't f*ck with other people's Teslas! $TSLA 

Please share to make this stupid man famous!😤 https://t.co/57jiYTCWN0",[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False
